       10041        10056        10027        10537
       12411        12418        12419        12313
        7022         7023         6392         6378
        1504         1503         1526         1480
        1504         1503         1963         1526
        1504         1526         1480         1091
        1527         1112         1092         1091
        1527         1504         1963         1526
        1527         1504         1526         1091
        7167         7775         7143         7142
        1233         1683         1671         2189
        2161         2160         2149         2694
        5078         4449         5084         5085
        5078         5083         4449         5084
        5078         4451         5086         5079
        5078         4451         5086         5085
        5096         5083         5728         5084
       10563        10549        11002        10564
       10621        10582        10600        10108
       11313        11331        11682        11332
       11314        11313        11333        10905
       10431        10430        10905        10925
       10923        11313        11331        11332
       10923        11313        11331        10903
       10923        11313        11333        11332
       11663        11664        11682        11973
       11311        11331        10903        10902
         988          643          987         1009
         988          643          966          987
        8900         9487         9475         8913
        6688         7298         6659         6689
        8166         8190         7582         8189
       12428        12418        12419        12313
       10355         9776         9777        10330
        8293         7668         7685         7669
        7035         7022         7023         6392
        7035         7036         7023         6392
        7035         7036         7052         6392
        7035         7659         7022         7023
        5082         5096         5083         5728
        7658         7035         7022         7669
        7658         7035         7659         7022
        7658         7035         7671         7659
        7662         7661         7674         8287
        7037         7036         7025         7660
        7037         7661         7025         7660
        7037         7053         7036         7688
        7037         7662         7661         7025
        7037         7662         7661         7674
       10545        10534        10535        10533
       11409        11751        11752        11758
       11409        11751        11408        11758
       11409        11751        11403        11752
       11409        11751        11403        11402
       11421        11409        11752        11758
       11421        11420        11408        11758
       11421        11409        11408        11758
        9265         9266         9239         8644
        1548         1527         1112         1091
        1548         1527         1526         1091
        1548         1988         1549         1112
        1548         1988         1527         1112
        1962         1503         1963         1526
        1962         1986         1963         1526
        1069         1504         1480         1091
          77           86            8           66
       10922        10923        11331        11332
       10922        11331        10903        10902
       10922        10923        11331        10903
       10922        10923        10429        10903
         220           77           86           66
           7            8           66            4
           7           86            8           66
        1744         1317         1298         1746
        2168         2718         2702         2183
         884          871         1262          872
        7799         7167         7775         7800
        7799         7193         7167         7800
        7168         7167         7775         7143
        7168         7167         7775         7800
        7168         7193         7167         7800
        5722         5729         5728         5084
        5722         5083         5728         5084
        5722         5078         5083         5084
        6379         7036         7023         6392
        6379         7023         6392         6378
        5741         5729         5728         5084
        5741         5096         5097         5084
        5741         5096         5095         5097
        5741         5096         5728         5084
        5741         5082         5096         5728
        5741         5082         5096         5095
        5741         5727         5082         5728
        5741         5727         5082         5095
        5757         5741         5095         5097
        5776         5777         5758         5113
        5776         5757         5758         5113
        7117         7118         7750         7094
        7116         7117         7750         7094
        5724         4451         5086         5079
        5724         4451         5086         5100
        5087         5724         4451         5100
        4463         4451         5086         5085
        4463         4451         5086         5100
        4463         5087         4451         5100
        1505         1527         1092         1091
        1505         1069         1092         1091
        1505         1527         1504         1091
        1505         1527         1504         1482
        1505         1069         1504         1091
        1528         1549         1112         1133
        1528         1988         1549         1112
        1528          757         1112         1133
        1528         1988         1527         1112
         218            7           64           74
         218            7           86           66
         206          442          221          441
         206          220          221          441
         208          442          223          424
         208           58           70           69
        3238         3239         3828         3248
        4515         4539         5175         5153
        1668         2161         2160         2149
        4198         4226         4851         4227
        4198         4824         4851         4227
        4878         4226         4851         4227
        4256         4229         4230         3649
       10109        10621        10582        10108
       10109        10621        10582        10583
