           1            5            2
           1            2           32
           1            3            4
           1           31            3
           1            4            5
           1           32           31
           2            5           45
           2           33           32
           2           34           33
           2           45           34
           3            6            4
           3           52            6
           3           31           41
           3           41           52
           4            8            5
           4            6            7
           4            7            8
           5            8           56
           5           56           45
           6           74            7
           6           52           63
           6           63           73
           6           73           74
           7           86            8
           7           74           75
           7           75           86
           8           77           56
           8           86           77
           9           15           10
           9           10          110
           9           13           14
           9          119           13
           9           14           15
           9          110          119
          10           15           11
          10           11          112
          10          111          110
          10          112          111
          11           15           24
          11           24           16
          11           16          123
          11          123          112
          12           21           13
          12           13          118
          12           19           20
          12          128           19
          12           20           21
          12          118          128
          13           21           14
          13          119          118
          14           23           15
          14           21           22
          14           22           23
          15           23           24
          16           17          123
          16          147           17
          16           24           25
          16           25          147
          17           18          124
          17          147           18
          17          114          123
          17          124          114
          18           26           27
          18          147           26
          18           27          137
          18          125          124
          18          137          125
          19           29           20
          19           28           29
          19          140           28
          19          128          140
          20           30           21
          20           29           40
          20           40           30
          21           30           22
          22           32           23
          22           30           31
          22           31           32
          23           33           24
          23           32           33
          24           33           25
          25           33           34
          25           34           35
          25           35          147
          26           37           27
          26           35           36
          26          147           35
          26           36           37
          27           37          150
          27          150          137
          28           39           29
          28           38           39
          28          154           38
          28          140          154
          29           39           40
          30           41           31
          30           40           41
          34           46           35
          34           45           46
          35           46           36
          36           48           37
          36           46           47
          36           47           48
          37           48          180
          37          165          150
          37          180          165
          38           50           39
          38           49           50
          38          168           49
          38          154          168
          39           51           40
          39           50           62
          39           62           51
          40           51           41
          41           51           52
          45           57           46
          45           56           57
          46           57           47
          47           59           48
          47           57           58
          47           58           59
          48           59          180
          49           60           50
          49          198           60
          49          168          183
          49          183          198
          50           60           62
          51           63           52
          51           62           63
          56           68           57
          56           77           68
          57           68           58
          58           70           59
          58           68           69
          58           69           70
          59           70          209
          59          209          180
          60           61           62
          60          213           61
          60          198          213
          61           72           62
          61          213           71
          61           71          215
          61          215           72
          62           72           63
          63           72           73
          68           78           69
          68           77           78
          69           80           70
          69           78           79
          69           79           80
          70           80          224
          70          224          209
          71           82          215
          71          227           82
          71          213          226
          71          226          227
          72           83           73
          72          215           83
          73           84           74
          73           83           84
          74           85           75
          74           84           85
          75           85           94
          75           95           86
          75           94           95
          77           87           78
          77           86           87
          78           88           79
          78           87           88
          79           90           80
          79           88           89
          79           89           90
          80           90          238
          80          238          224
          81           91           82
          81           82          227
          81          255           91
          81          227          241
          81          241          254
          81          254          255
          82           92           83
          82           83          215
          82           91           92
          83           92           84
          84           93           85
          84           92           93
          85           93          101
          85          101           94
          86           95           87
          87          234           88
          87           95          234
          88           97           89
          88          234           97
          89          251           90
          89           97           98
          89           98          251
          90          252          238
          90          251          252
          91           99           92
          91          255           99
          92           99           93
          93           99          100
          93          100          101
          94          247           95
          94          101          102
          94          102          247
          95          247          234
          96          104           97
          96           97          234
          96          247          103
          96          103          272
          96          272          104
          96          234          247
          97          104           98
          98          104          263
          98          263          251
          99          267          100
          99          255          267
         100          268          101
         100          267          501
         100          501          268
         101          268          102
         102          103          247
         102          270          103
         102          268          270
         103          270          271
         103          271          272
         104          262          263
         104          272          262
         105          111          106
         105          106          292
         105          110          111
         105          304          110
         105          292          303
         105          303          304
         106          111          107
         106          107          287
         106          287          285
         106          285          292
         107          111          112
         107          112          113
         107          113          295
         107          295          287
         108          119          109
         108          109          290
         108          117          118
         108          301          117
         108          118          119
         108          290          301
         109          119          304
         109          291          290
         109          303          291
         109          304          303
         110          304          119
         112          123          113
         113          123          114
         113          114          295
         114          124          115
         114          115          295
         115          124          125
         115          125          310
