           3            1
           1            5
           2            3
           8            2
           5            6
           6           14
           7            8
          17            7
          14           15
          15           27
          16           17
          30           16
          27           28
          28           44
          29           30
          47           29
          44           45
          45           65
          46           47
          68           46
          65           66
          66           90
          67           68
          93           67
          90           91
          91          119
          92           93
         122           92
         119          120
         120          152
         121          122
         155          121
         152          153
         153          189
         154          155
         192          154
         189          190
         190          230
         191          192
         233          191
         230          231
         231          275
         232          233
         278          232
         275          276
         276          324
         277          278
         327          277
         324          325
         325          377
         326          327
         380          326
         377          378
         378          434
         379          380
         437          379
         434          435
         435          495
         436          437
         498          436
         495          496
         496          560
         497          498
         563          497
         560          561
         561          629
         562          563
         632          562
         629          630
         630          702
         631          632
         705          631
         702          703
         703          779
         704          705
         782          704
         779          780
         780          860
         781          782
         863          781
         860          861
         861          945
         862          863
         948          862
         945          946
         946         1034
         947          948
        1037          947
        1034         1035
        1035         1127
        1036         1037
        1130         1036
        1127         1128
        1128         1224
        1129         1130
        1226         1129
        1224         1225
        1225         1324
        1326         1226
        1324         1325
        1325         1425
        1426         1326
        1425         1525
        1526         1426
        1525         1625
        1626         1526
        1625         1725
        1726         1626
        1725         1825
        1826         1726
        1825         1925
        1926         1826
        1925         2025
        2026         1926
        2025         2125
        2126         2026
        2125         2225
        2226         2126
        2225         2325
        2326         2226
        2325         2425
        2426         2326
        2425         2525
        2526         2426
        2525         2625
        2626         2526
        2625         2725
        2726         2626
        2725         2825
        2826         2726
        2825         2925
        2926         2826
        2925         3025
        3026         2926
        3025         3125
        3126         3026
        3125         3225
        3226         3126
        3225         3325
        3326         3226
        3325         3425
        3426         3326
        3425         3525
        3526         3426
        3525         3625
        3626         3526
        3625         3725
        3726         3626
        3725         3825
        3826         3726
        3825         3925
        3926         3826
        3925         4025
        4026         3926
        4025         4125
        4126         4026
        4125         4225
        4226         4126
        4225         4325
        4326         4226
        4325         4425
        4426         4326
        4425         4525
        4526         4426
        4525         4625
        4626         4526
        4625         4725
        4726         4626
        4725         4825
        4826         4726
        4825         4925
        4926         4826
        4925         5025
        5026         4926
        5025         5125
        5126         5026
        5125         5225
        5226         5126
        5225         5325
        5326         5226
        5325         5425
        5426         5326
        5425         5525
        5526         5426
        5525         5625
        5626         5526
        5625         5725
        5726         5626
        5725         5825
        5826         5726
        5825         5925
        5926         5826
        5925         6025
        6026         5926
        6025         6125
        6126         6026
        6125         6225
        6226         6126
        6225         6324
        6227         6226
        6325         6227
        6324         6323
        6323         6419
        6326         6325
        6420         6326
        6419         6418
        6418         6510
        6421         6420
        6511         6421
        6510         6509
        6509         6597
        6512         6511
        6598         6512
        6597         6596
        6596         6680
        6599         6598
        6681         6599
        6680         6679
        6679         6759
        6682         6681
        6760         6682
        6759         6758
        6758         6834
        6761         6760
        6835         6761
        6834         6833
        6833         6905
        6836         6835
        6906         6836
        6905         6904
        6904         6972
        6907         6906
        6973         6907
        6972         6971
        6971         7035
        6974         6973
        7036         6974
        7035         7034
        7034         7094
        7037         7036
        7095         7037
        7094         7093
        7093         7149
        7096         7095
        7150         7096
        7149         7148
        7148         7200
        7151         7150
        7201         7151
        7200         7199
        7199         7247
        7202         7201
        7248         7202
        7247         7246
        7246         7290
        7249         7248
        7291         7249
        7290         7289
        7289         7329
        7292         7291
        7330         7292
        7329         7328
        7328         7364
        7331         7330
        7365         7331
        7364         7363
        7363         7395
        7366         7365
        7396         7366
        7395         7394
        7394         7422
        7397         7396
        7423         7397
        7422         7421
        7421         7445
        7424         7423
        7446         7424
        7445         7444
        7444         7464
        7447         7446
        7465         7447
        7464         7463
        7463         7479
        7466         7465
        7480         7466
        7479         7478
        7478         7490
        7481         7480
        7491         7481
        7490         7489
        7489         7497
        7492         7491
        7498         7492
        7497         7496
        7496         7500
        7499         7498
        7500         7499
