           1            4            2
           1            2           32
           1            3            8
           1           30            3
           1            8            4
           1           31           30
           1           32           31
           2            4            6
           2            6           44
           2           33           32
           2           44           33
           3            7            8
           3           49            7
           3           30           39
           3           39           49
           4            5            6
           4            9            5
           4            8            9
           5           64            6
           5            9           10
           5           10           73
           5           73           64
           6           54           44
           6           64           54
           7           11            8
           7           69           11
           7           49           59
           7           59           69
           8           11            9
           9           12           10
           9           11           12
          10           12           83
          10           83           73
          11           81           12
          11           69           81
          12           81           82
          12           82           83
          13           19           20
          13          126           19
          13           20          108
          13          108          107
          13          107          116
          13          116          126
          14           22           15
          14           15          109
          14           20           21
          14          108           20
          14           21           22
          14          109          108
          15           22           16
          15           16          111
          15          110          109
          15          111          110
          16           24           17
          16           17          111
          16           22           23
          16           23           24
          17           24           18
          17           18          113
          17          112          111
          17          113          112
          18           24           25
          18           25           26
          18           26          134
          18          123          113
          18          134          123
          19           29           20
          19           28           38
          19          126           28
          19           38           29
          20           29           21
          21           31           22
          21           29           30
          21           30           31
          22           31           23
          23           25           24
          23           33           25
          23           31           32
          23           32           33
          25           34           26
          25           33           34
          26           34           35
          26           35           36
          26           36          134
          27           37           28
          27           28          126
          27          152           37
          27          126          125
          27          125          138
          27          138          152
          28           37           48
          28           48           38
          29           39           30
          29           38           39
          33           44           34
          34           45           35
          34           44           45
          35          149           36
          35           45           46
          35           46          149
          36          135          134
          36          136          135
          36          149          136
          37           47           58
          37          152           47
          37           58           48
          38           48           39
          39           48           49
          44           54           45
          45           55           46
          45           54           55
          46           55           56
          46           56          163
          46          163          149
          47           57           58
          47          180           57
          47          152          166
          47          166          180
          48           58           49
          49           58           59
          54           65           55
          54           64           65
          55           66           56
          55           65           66
          56           66          191
          56          177          163
          56          191          177
          57           68           58
          57           67           68
          57          195           67
          57          180          195
          58           68           59
          59           68           79
          59           79           69
          64           74           65
          64           73           74
          65           75           66
          65           74           75
          66           75           76
          66           76          191
          67           78           68
          67           77           78
          67          208           77
          67          195          208
          68           78           79
          69           79           80
          69           80           81
          73           84           74
          73           83           84
          74           85           75
          74           84           85
          75           86           76
          75           85           86
          76           86          219
          76          205          191
          76          219          205
          77           87           78
          77          222           87
          77          208          221
          77          221          222
          78           88           79
          78           87           88
          79           88           80
          80           90           81
